wavelength,power
3458.7026,0.0053230179
3458.5586,0.0068048043
3458.4143,0.0090995925
3458.2705,0.0074373358
3458.1265,0.0035779402
3457.9819,0.010048731
3457.8381,0.0073562660
3457.6938,0.0031797504
3457.5498,0.0085825622
3457.4058,0.0091750929
3457.2620,0.0029939029
3457.1177,0.0053629773
3456.9734,0.011687607
3456.8293,0.0051593096
3456.6853,0.0060438071
3456.5415,0.0094395922
3456.3975,0.0079744859
3456.2537,0.0016460499
3456.1094,0.0096008433
3455.9653,0.0094298171
3455.8215,0.0013371909
3455.6775,0.0082239546
3455.5337,0.0096307760
3455.3896,0.0022735025
3455.2458,0.0030539355
3455.1018,0.011843139
3454.9578,0.0064119697
3454.8142,0.0036279208
3454.6702,0.010900345
3454.5266,0.0082142847
3454.3828,0.0022053989
3454.2390,0.0097456947
3454.0952,0.0097569516
3453.9512,0.0023690050
3453.8076,0.0092066322
3453.6638,0.010975083
3453.5203,0.0042871903
3453.3760,0.0070240246
3453.2327,0.010391774
3453.0886,0.0052120313
3452.9448,0.0019416887
3452.8015,0.011489781
3452.6577,0.0079714349
3452.5142,0.0014695872
3452.3701,0.0084743435
3452.2268,0.0093677500
3452.0830,0.0024759332
3451.9392,0.0065821772
3451.7959,0.011916807
3451.6521,0.0054270304
3451.5085,0.0058598039
3451.3647,0.011180306
3451.2214,0.0078955330
3451.0779,0.0043094512
3450.9341,0.010197759
3450.7910,0.0076610744
3450.6472,0.0033322126
3450.5039,0.0088684037
3450.3604,0.012403711
3450.2170,0.0019836423
3450.0735,0.0064553982
3449.9299,0.011316554
3449.7866,0.0052121938
3449.6428,0.0034667368
3449.4995,0.011936952
3449.3562,0.0095623396
3449.2129,0.0036115753
3449.0693,0.011659215
3448.9260,0.0078492835
3448.7825,0.0025473633
3448.6392,0.0080243303
3448.4958,0.012017352
3448.3525,0.0027374341
3448.2095,0.0059067537
3448.0659,0.010924041
3447.9226,0.0064519248
3447.7793,0.0028289717
3447.6360,0.011294242
3447.4929,0.010743089
3447.3494,0.0018073538
3447.2065,0.011561870
3447.0635,0.0089909295
3446.9199,0.0037812477
3446.7769,0.0087231994
3446.6335,0.014207622
3446.4905,0.0038414807
3446.3474,0.0054051722
3446.2043,0.014416320
3446.0608,0.0064670518
3445.9177,0.0031688714
3445.7747,0.013942668
3445.6316,0.0078667002
3445.4885,0.0015441091
3445.3455,0.0088401362
3445.2026,0.012552514
3445.0591,0.0019549693
3444.9160,0.0090587903
3444.7732,0.012202609
3444.6301,0.0049363561
3444.4873,0.0062447297
3444.3442,0.011507398
3444.2012,0.0087872073
3444.0581,0.0034615432
3443.9150,0.010798207
3443.7722,0.010821695
3443.6292,0.0018161455
3443.4868,0.011292712
3443.3438,0.012340803
3443.2007,0.0017410157
3443.0579,0.0073698522
3442.9150,0.011127589
3442.7722,0.0085693728
3442.6292,0.0067478148
3442.4866,0.012872590
3442.3435,0.0066905660
3442.2007,0.0019595958
3442.0579,0.0096044885
3441.9153,0.013507573
3441.7725,0.00026329630
3441.6296,0.0084333941
3441.4871,0.014089335
3441.3438,0.0056152884
3441.2014,0.0082844337
3441.0586,0.015316467
3440.9160,0.0053817872
3440.7732,0.0045631346
3440.6304,0.013205082
3440.4875,0.0096134311
3440.3450,0.0025785167
3440.2024,0.0099217901
3440.0598,0.013880227
3439.9172,0.0022040340
3439.7749,0.0096083470
3439.6318,0.012864752
3439.4895,0.0052789440
3439.3469,0.0055767735
3439.2043,0.014151438
3439.0618,0.0089724753
3438.9194,0.0035971852
3438.7769,0.012292643
3438.6340,0.012546783
3438.4917,0.00092270109
3438.3491,0.012961715
3438.2068,0.014552687
3438.0642,0.0033609692
3437.9219,0.011041068
3437.7791,0.014786817
3437.6365,0.0067739459
3437.4944,0.0084213419
3437.3518,0.015219357
3437.2097,0.0074414038
3437.0671,0.0027595945
3436.9250,0.013679784
3436.7822,0.011755518
3436.6396,0.0034459468
3436.4976,0.013353393
3436.3552,0.012880309
3436.2131,0.0049409168
3436.0710,0.010225254
3435.9285,0.014917811
3435.7861,0.0073057120
3435.6438,0.0074313628
3435.5017,0.014451902
3435.3594,0.010982448
3435.2173,0.0034582885
3435.0747,0.013642495
3434.9329,0.013210804
3434.7905,0.00082613219
3434.6482,0.013320729
3434.5061,0.013026918
3434.3640,0.0041229161
3434.2219,0.010112289
3434.0793,0.011891909
3433.9375,0.0082188211
3433.7954,0.0036545680
3433.6531,0.013830128
3433.5112,0.012504095
3433.3691,0.00081890280
3433.2268,0.015496388
3433.0847,0.014857821
3432.9429,0.0035937470
3432.8008,0.012830617
3432.6587,0.015640635
3432.5171,0.0043901070
3432.3750,0.0076752314
3432.2329,0.016856603
3432.0908,0.0080341902
3431.9490,0.0050631836
3431.8071,0.014077621
3431.6650,0.012078398
3431.5232,0.0011236268
3431.3809,0.013180007
3431.2393,0.016438352
3431.0972,0.0032367615
3430.9556,0.013252934
3430.8137,0.013566433
3430.6716,0.0078403549
3430.5298,0.0065011149
3430.3877,0.018195648
3430.2461,0.010099001
3430.1042,0.0050610336
3429.9626,0.014780042
3429.8208,0.012343286
3429.6790,0.0030850526
3429.5371,0.012656981
3429.3953,0.016055912
3429.2537,0.0050256788
3429.1118,0.0097294850
3428.9702,0.017600346
3428.8289,0.010510013
3428.6868,0.0073647504
3428.5452,0.018011298
3428.4036,0.012159029
3428.2620,0.0030403284
3428.1204,0.016241085
3427.9788,0.016048757
3427.8372,0.0032961685
3427.6951,0.013212788
3427.5537,0.015153062
3427.4121,0.0067572510
3427.2705,0.0091993110
3427.1289,0.017082756
3426.9875,0.012569100
3426.8457,0.0077372924
3426.7041,0.017986152
3426.5627,0.014355988
3426.4211,0.0027427070
3426.2798,0.017837465
3426.1382,0.014893090
3425.9971,0.0034835525
3425.8552,0.013961614
3425.7136,0.016160622
3425.5723,0.0090283118
3425.4309,0.010866658
3425.2896,0.018095529
3425.1484,0.012366354
3425.0068,0.0058889659
3424.8655,0.018892104
3424.7239,0.014658556
3424.5828,0.0028428100
3424.4414,0.016042290
3424.3003,0.014860020
3424.1584,0.0059400555
3424.0173,0.011286406
3423.8760,0.019881755
3423.7346,0.011188526
3423.5935,0.0098994225
3423.4521,0.018438106
3423.3110,0.015073067
3423.1694,0.0023984786
3423.0286,0.020707138
3422.8872,0.017793233
3422.7458,0.0012622243
3422.6050,0.019347934
3422.4636,0.017658766
3422.3223,0.0054339934
3422.1812,0.011998516
3422.0400,0.021593004
3421.8989,0.010678937
3421.7578,0.0076051787
3421.6172,0.022809304
3421.4758,0.013026902
3421.3347,0.0029801030
3421.1936,0.019366430
3421.0527,0.017687324
3420.9116,0.0044703255
3420.7703,0.015476893
3420.6296,0.022225786
3420.4880,0.0079434719
3420.3474,0.012487154
3420.2063,0.024136934
3420.0654,0.011869902
3419.9243,0.0085681742
3419.7834,0.021460008
3419.6423,0.016365059
3419.5012,0.0026744811
3419.3606,0.020887204
3419.2195,0.018737849
3419.0789,0.0053261123
3418.9377,0.018148785
3418.7969,0.021992840
3418.6560,0.0082964757
3418.5149,0.011570900
3418.3743,0.021907024
3418.2334,0.017468709
3418.0928,0.010413831
3417.9521,0.020863578
3417.8110,0.016866084
3417.6704,0.0026092364
3417.5295,0.022488113
3417.3889,0.020051273
3417.2480,0.0065469928
3417.1074,0.014937291
3416.9668,0.026279656
3416.8257,0.010804254
3416.6851,0.010071558
3416.5444,0.027302016
3416.4038,0.017998694
3416.2632,0.0074643604
3416.1226,0.024402497
3415.9817,0.019283565
3415.8408,0.0021112952
3415.7004,0.020708043
3415.5598,0.024869040
3415.4192,0.0084660733
3415.2786,0.017653344
3415.1379,0.027270755
3414.9973,0.013226115
3414.8567,0.012571423
3414.7163,0.026815269
3414.5757,0.017735025
3414.4353,0.0052234340
3414.2949,0.022670263
3414.1545,0.024739366
3414.0139,0.0021124131
3413.8733,0.021542059
3413.7329,0.026407486
3413.5925,0.0093594510
3413.4521,0.017550172
3413.3115,0.027498165
3413.1711,0.016573673
3413.0308,0.011498781
3412.8901,0.027203549
3412.7500,0.021896258
3412.6096,0.0049310806
3412.4695,0.024187099
3412.3286,0.026314028
3412.1885,0.0039265011
3412.0481,0.018283600
3411.9077,0.031555232
3411.7676,0.010820201
3411.6272,0.016261417
3411.4868,0.028376235
3411.3464,0.018919211
3411.2065,0.0072450964
3411.0662,0.029785035
3410.9258,0.025793022
3410.7861,0.0033186581
3410.6455,0.026299091
3410.5054,0.027509427
3410.3652,0.0090992693
3410.2251,0.022670519
3410.0850,0.031993326
3409.9451,0.014509231
3409.8047,0.014072246
3409.6643,0.033917591
3409.5244,0.021699557
3409.3840,0.0071402160
3409.2441,0.032845121
3409.1040,0.028119991
3408.9641,0.0029080375
3408.8237,0.027191950
3408.6836,0.034884196
3408.5437,0.0052201464
3408.4036,0.018476449
3408.2639,0.035989936
3408.1238,0.017947504
3407.9839,0.014102441
3407.8435,0.034620326
3407.7036,0.028600112
3407.5637,0.0080646537
3407.4238,0.034189910
3407.2839,0.031026492
3407.1443,0.0048096189
3407.0042,0.028355358
3406.8643,0.037167761
3406.7244,0.011785804
3406.5847,0.021684496
3406.4446,0.037710298
3406.3049,0.023381373
3406.1650,0.012887794
3406.0251,0.039701771
3405.8853,0.030383119
3405.7454,0.0040440285
3405.6057,0.036370937
3405.4658,0.037789121
3405.3262,0.0073211980
3405.1860,0.031722307
3405.0466,0.040733200
3404.9067,0.016492575
3404.7668,0.021088490
3404.6274,0.045199316
3404.4875,0.024545001
3404.3479,0.011294690
3404.2080,0.042086404
3404.0686,0.037296340
3403.9290,0.0033759419
3403.7891,0.037539836
3403.6497,0.044779792
3403.5103,0.0098726563
3403.3706,0.032969806
3403.2310,0.048409451
3403.0916,0.020564355
3402.9517,0.025145911
3402.8120,0.046483293
3402.6729,0.033371802
3402.5330,0.013222126
3402.3936,0.044506285
3402.2539,0.044040076
3402.1145,0.0020538303
3401.9751,0.040901415
3401.8354,0.051167373
